index,x,y,z
0,[],[],[]
1,"[0.08422852, -0.08496094, 0.326416, -1.061768, -0.3701172, 0.5102539, -1.713623, 0.302002, -1.984375, -1.984375, 0.279541, -1.984375, -1.351807, 0.07910156, 0.2504883, -1.178955, 0.4445801, 0.6921387, 1.671387, 0.9094238, 1.132568]","[-0.3981934, -0.9472656, -0.8674316, -0.2802734, -0.824707, -1.220947, -0.1931152, -0.8337402, -1.984375, -0.2033691, -0.9230957, -1.984375, -0.385498, -0.6877441, -0.7248535, -0.510498, -0.8347168, -0.8557129, -0.392334, 0.07739258, -0.04199219]","[-0.1872559, -0.4890137, -0.5644531, -0.4685059, -0.2626953, -0.8549805, -0.8151855, -0.296875, -0.2893066, -0.9121094, -0.3835449, -1.984375, -0.7749023, -0.2756348, -0.7573242, -0.7998047, -0.2875977, 1.216309, -1.096191, -0.3620605, -0.04248047]"
2,"[0.4001465, -0.8161621, 1.317627, -0.8164063, -1.099609, 1.142822, 1.999939, -1.759521, 0.1938477, 1.061279, -0.6374512, -1.171875, 0.03662109, -1.143066, -1.54834, 0.5786133, 1.008789, -1.071045, -1.064697, 1.999939, -0.434082, 1.043213, 0.3898926, 1.116943]","[0.0002441406, -0.4746094, -0.5537109, -0.4355469, -0.5725098, -0.7526855, -1.371826, -0.3562012, -0.7805176, -1.040527, -0.5046387, -0.4953613, -1.000488, -1.984375, -0.4084473, -0.8911133, -0.8793945, -0.08081055, -0.3337402, -1.266113, -0.4387207, 0.3608398, -0.2231445, 0.009521484]","[-0.5976563, 0.2192383, 0.7011719, -0.3120117, -0.5539551, -0.3427734, -1.984375, -0.9597168, -0.3930664, 0.255127, -0.8408203, -0.5981445, 0.0612793, -0.8703613, -0.7104492, -0.1865234, -0.2512207, -1.131592, -0.9150391, 0.4135742, -0.479248, -1.196777, -0.2744141, -0.09887695]"
3,"[-0.009521484, -0.7895508, 1.209961, 0.6308594, -1.997314, 0.1132813, -0.7766113, -1.804443, -0.1872559, 1.999939, 0.4152832, -1.643066, 0.06054688, 0.708252, -0.8522949, -0.8789063, 0.3364258, -1.72998, -0.5344238, 1.644287, 1.187012]","[-0.5612793, -0.5913086, -0.9501953, -0.9580078, -0.3110352, -0.9367676, -1.086182, -0.2365723, -0.6948242, -0.7451172, -0.765625, -0.3532715, -0.7487793, -0.7106934, -0.2424316, -0.5217285, -0.7509766, -0.1696777, -0.7062988, 0.02807617, -0.02099609]","[-0.2685547, -0.2487793, -0.1796875, -0.8659668, -0.8547363, -0.5219727, -1.984375, -0.8630371, -0.5534668, 0.1618652, -0.8081055, -0.8891602, -0.4448242, -0.3913574, -1.031494, -0.9929199, -0.1120605, -0.9648438, -0.2080078, 0.3417969, -0.09204102]"
4,"[0.494873, -0.03393555, -1.681885, -0.2338867, -1.540283, -1.468018, -0.9040527, 1.422363, -1.984375, -1.941406, -0.1989746, 1.999939, 1.999939, -1.984375, -0.2355957, 1.999939, 0.7487793, -1.80957, -0.05664063, 1.821533, -1.984375, 1.466797, 1.551025, 1.020508, 1.117432]","[-0.1074219, -0.4863281, -0.1791992, -0.7456055, -1.481934, -0.2160645, -0.6318359, -0.7285156, -1.984375, -0.1809082, -0.581543, -1.022705, 1.632568, -0.09399414, -0.576416, -1.189697, -0.7580566, -0.3266602, -0.7612305, -1.059326, -1.994629, -0.8486328, -0.08349609, 0.01855469, -0.03417969]","[-0.503418, -0.885498, -0.4819336, -0.567627, -1.984375, -0.8835449, -1.074219, -0.190918, 1.999939, -1.038574, -0.8076172, 0.2131348, 1.999939, -0.9963379, -0.8806152, 0.06713867, -0.7912598, -0.8696289, -0.6066895, 0.09790039, -0.7629395, -0.972168, 0.1379395, -0.2097168, -0.04248047]"
5,"[1.999939, -1.297119, 0.3818359, 0.5625, -1.303711, -0.2922363, 1.999939, 0.9741211, -1.311768, -0.1252441, -1.019775, -1.317627, -0.6865234, 1.139893, -1.098633, -0.5461426, -1.501953, -0.1081543, 1.563721, 1.999939, -1.984375, -0.3388672, 0.4606934, -0.9633789, 0.0847168, 1.102295, 1.114502]","[0.1088867, -0.2524414, -0.3120117, -0.9003906, -0.5820313, -0.8244629, -0.5229492, -0.9794922, -0.2817383, -0.8164063, -1.16333, -0.371582, -0.6826172, -0.8305664, -1.811523, -0.515625, -0.609375, -0.8334961, -0.6826172, -1.303223, -0.3681641, -0.7312012, -0.9348145, -1.377686, -0.3664551, -0.05395508, 0.01708984]","[-0.6057129, -0.5224609, 0.5275879, -0.9069824, -0.590332, -0.3632813, 0.7749023, -0.9606934, -0.8779297, -0.3842773, -1.83374, -0.4243164, -0.7253418, -0.244873, -1.984375, -0.668457, -0.9902344, -0.1879883, -0.1950684, 1.561523, -0.8664551, -0.5244141, -0.1474609, -1.984375, -0.6711426, -0.4038086, -0.1071777]"
6,"[0.05444336, 0.9621582, -0.7053223, -0.4943848, 1.975342, 0.6877441, -1.984375, -0.05297852, 1.999939, 0.4562988, -1.944824, -0.2131348, -1.387939, 0.2753906, -1.20166, -0.3022461, 1.789795, 0.6828613, -1.678467, -0.3547363, 1.999939, 0.1420898, 1.219971, 1.104004]","[0.0004882813, -0.1691895, -0.394043, -0.7626953, -0.5993652, -0.6083984, -0.2495117, -0.7155762, -1.005859, -0.713623, -0.3432617, -0.8278809, -0.6298828, -0.8554688, -0.3532715, -0.7089844, -0.901123, -0.7226563, -0.4958496, -0.8674316, -0.5249023, -0.3447266, 0.1743164, -0.08154297]","[-0.1904297, 0.8254395, -0.8503418, -0.411377, -0.2480469, -0.5407715, -0.8027344, -0.3408203, 0.2890625, -1.028564, -1.083496, -0.5209961, 0.5810547, -1.008301, -1.271729, 0.02636719, 0.810791, -0.5358887, -0.5715332, -0.4152832, 0.7504883, -0.2102051, -0.2412109, -0.1347656]"
7,"[-0.8769531, 1.999939, -1.39209, -0.2973633, 1.929199, -1.984375, -1.265869, -0.4665527, 0.4006348, -1.984375, -1.132813, -1.169434, -0.3288574, -1.984375, -0.5561523, -1.42041, 0.01245117, 1.757568, 0.7836914, -1.100586, -0.126709, 0.3881836, 1.125732]","[-0.6860352, -1.984375, -0.3654785, -0.8710938, -0.7780762, -1.984375, -0.6870117, -0.7141113, -0.9248047, -1.205811, -0.5134277, -0.588623, -0.9748535, -1.828613, -0.7736816, -0.583252, -0.951416, -0.7119141, -0.9226074, -0.5317383, -0.9248047, -0.4572754, 0.05322266]","[-0.6623535, 1.999939, -0.5415039, -0.4736328, 0.472168, -0.9606934, -0.9692383, -0.4460449, -0.1743164, -1.984375, -0.5439453, -0.9260254, -0.2609863, 0.4033203, -0.6650391, -1.029785, -0.006103516, 0.4130859, -0.7932129, -0.7314453, -0.2373047, -0.2912598, -0.4824219]"
8,"[-0.5197754, 1.625244, -1.65918, -0.1315918, 1.999939, -1.795898, -1.302979, -1.44873, -0.5805664, 1.573975, 0.7390137, -1.396484, -0.262207, 1.696533, -1.210693, -0.5922852, -1.837891, -0.4489746, 1.980225, -1.229736, -0.7556152, 0.9042969, 1.02002, 1.234131, 1.110596]","[-0.5021973, -1.318604, -0.5749512, -0.8996582, -1.007324, -1.984375, -0.5097656, -0.5964355, -0.9130859, -0.840332, -0.7922363, -0.4697266, -0.828125, -0.934082, -1.797363, -0.6262207, -0.4360352, -0.7636719, -0.8312988, -0.9802246, -0.3068848, -0.572998, 0.2751465, 0.06787109, -0.02416992]","[-0.2253418, -0.09716797, -0.8991699, -0.3269043, 0.5102539, 1.999939, -0.3947754, -1.011719, -0.236084, 0.2910156, -0.7670898, -0.6333008, -0.8293457, -0.01000977, 1.100342, -0.5317383, -0.8266602, -0.5695801, 0.03979492, -1.984375, -0.6240234, 0.142334, -0.5178223, -0.3464355, -0.1081543]"
9,"[-1.773682, -0.9660645, 1.999939, -0.9785156, 0.4926758, -1.22998, -1.747314, -0.3244629, -0.4309082, 0.4353027, -1.609863, -0.6320801, -0.251709, 0.3522949, 0.8479004, -1.710449, -0.3139648, 0.07299805, -0.7331543, -1.984375, 0.3857422, 1.667236, 0.9768066, 1.047607]","[-0.7070313, -0.7353516, -1.133057, -1.984375, -0.7580566, -0.6123047, -0.5673828, -0.6992188, -0.854248, -0.6535645, -0.4255371, -0.6350098, -0.8825684, -0.5712891, -0.6025391, -0.4047852, -0.6013184, -0.776123, -1.323486, -1.984375, -0.7077637, 0.1691895, -0.1022949, -0.02197266]","[-0.7548828, -0.4802246, 0.2128906, -0.487793, -0.8544922, -1.19873, -1.515869, -0.4133301, -0.1245117, -0.8105469, -1.118652, -0.9980469, -0.1599121, 0.1916504, -1.124268, -1.21582, -1.065674, -0.2980957, -0.6699219, -1.984375, -0.5236816, -0.7167969, -0.3093262, -0.09130859]"
