index,x,y,z

0,[],[],[]

1,"[0.5649414, -0.1696777, 0.9101563, -0.4257813, 0.7084961, 0.354248, 0.4287109, -0.5627441, 0.01831055, 1.175537, 0.09423828, -0.581543, -0.4997559, 0.8139648, 1.134521, 1.033691, 1.112305]","[-0.2209473, -0.729248, -1.102051, -0.6655273, -0.795166, -0.5263672, -0.8310547, -0.6665039, -0.6164551, -0.8745117, -1.984375, -0.4182129, -0.5649414, -0.5185547, -0.1218262, -0.004882813, -0.03930664]","[-0.6699219, -0.458252, -0.2868652, -0.8515625, -0.3166504, -0.7006836, -0.9228516, -0.7805176, -0.5073242, -0.04980469, -0.04345703, -1.231445, -0.9440918, -0.5422363, -0.1635742, -0.08666992, -0.002197266]"

2,"[-0.06396484, 0.7741699, -1.058838, -0.1899414, 0.7258301, -0.9238281, -0.527832, 0.4645996, 0.1994629, 0.5927734, 0.9291992, 0.5512695, 1.261963, 1.103271]","[-0.4897461, 0.09741211, -0.4589844, -0.6821289, -1.195068, -0.439209, -0.6777344, -0.8232422, -0.6245117, -0.9592285, -1.006348, -0.4418945, -0.02246094, -0.03100586]","[-0.5400391, -0.6787109, -0.7602539, -0.5219727, -0.08227539, -0.9157715, -0.7734375, -0.3789063, -1.173828, -0.1047363, -0.1682129, -0.744873, -0.435791, -0.01782227]"

3,"[0.3867188, -0.7275391, -0.4104004, 0.8266602, -0.2866211, -0.9572754, -0.1933594, 0.7966309, 0.7402344, -0.6799316, -0.1806641, 0.8317871, 0.635498, 0.6088867, 1.272949]","[-0.4072266, -0.5710449, -0.6853027, -0.8190918, -0.605957, -0.5161133, -0.6975098, -0.9355469, 0.015625, -0.5256348, -0.6237793, -0.7426758, -0.8422852, -0.6118164, -0.04370117]","[-0.5439453, -0.8967285, -0.5610352, -0.361084, -0.9118652, -0.8530273, -0.6662598, -0.2805176, -1.416016, -1.091797, -0.8024902, -0.440918, -0.517334, -0.4399414, 0.06054688]"

4,"[0.4631348, -1.210205, -0.9870605, -0.355957, 0.8581543, -0.0949707, 0.1445313, -0.7587891, 0.657959, 0.1870117, -0.7739258, -0.4528809, 0.9724121, 0.1350098, 0.8283691, 1.325684]","[-0.5212402, -1.984375, -0.5336914, -0.630127, -0.9311523, -1.374512, -0.7592773, -0.526123, -0.6740723, -0.5456543, -0.4553223, -0.5935059, -1.044922, -0.4545898, -0.5100098, -0.2580566]","[-0.5666504, -0.5258789, -0.8850098, -0.5222168, -0.3110352, -0.8029785, -0.8654785, -1.072754, -0.8244629, -0.8981934, -1.227539, -0.7521973, 0.1469727, -1.197998, -0.5517578, 0.01489258]"

5,"[1.110596, 0.7897949, -0.5209961, 0.4082031, 1.095947, -0.847168, -0.8574219, -0.7399902, -0.1682129, 0.4216309, 1.192871, 0.8977051, 0.7331543, -0.1113281, -0.7819824, -0.8769531, 0.004394531, 0.5229492, 0.8962402, 1.295898, 1.094727]","[-0.03515625, -0.8737793, -0.5458984, -0.723877, -0.265625, -0.418457, -0.6008301, -0.6459961, -0.7246094, -0.736084, -0.8510742, -0.7866211, -1.518555, -0.5507813, -0.5002441, -0.5588379, -0.6989746, -0.7719727, -0.2302246, -0.01025391, 0.06689453]","[0.005859375, -0.6230469, -1.069092, -0.5031738, -0.572998, -1.144775, -1.106934, -1.188965, -0.6938477, -0.4731445, -0.07617188, -0.7067871, 0.03613281, -0.9299316, -1.270996, -1.152588, -0.7236328, -0.2302246, -0.7722168, -0.04199219, -0.009033203]"

6,"[-0.05664063, -0.9562988, -0.3327637, 0.7885742, 0.5483398, -0.234375, -0.8208008, -0.7600098, -0.8134766, -0.3212891, 1.056885, 0.8400879, 0.3205566, 0.5046387, 1.236084, 1.10791]","[-0.5073242, -0.4924316, -0.701416, -0.744873, -1.038818, -0.6513672, -0.5087891, -0.5974121, -0.5966797, -0.6845703, -0.9992676, -0.7426758, -0.4638672, -0.4160156, -0.1320801, -0.03759766]","[-0.5114746, -0.9335938, -0.7573242, -0.3093262, -0.3803711, -0.9243164, -0.980957, -0.9892578, -0.9978027, -0.7819824, -0.1418457, -0.2888184, -0.8537598, -0.689209, -0.001953125, -0.00390625]"

7,"[0.3518066, -0.3686523, 0.3056641, 0.5068359, -0.6147461, -1.001709, -0.4074707, 0.5695801, 0.8215332, 0.07495117, -0.1582031, -0.407959, 0.354248, 0.3630371, 0.5107422, 1.13208]","[-0.3669434, -0.7180176, -1.125488, -1.984375, -0.5839844, -0.7023926, -0.7810059, -0.7568359, -0.621582, -1.734375, -0.6911621, -0.7478027, -0.7844238, -0.7663574, -0.5656738, -0.1069336]","[-0.543457, -0.4602051, -0.5598145, 1.330811, -0.7910156, -0.7353516, -0.6035156, -0.3032227, -0.8098145, -0.3659668, -0.831543, -0.7578125, -0.2961426, -0.5336914, -0.6708984, -0.2849121]"

8,"[-0.5168457, 0.2753906, -0.03662109, -0.8671875, 0.378418, 1.085693, -0.6213379, 1.317871, 1.01001, 1.083496]","[-0.5866699, -1.600098, -0.7607422, -0.7297363, -0.7668457, -0.6955566, -0.7668457, -0.2148438, -0.1398926, -0.07836914]","[-0.3847656, -0.5935059, -0.6499023, -0.8322754, -0.3081055, -0.07543945, -0.9575195, -0.3640137, -0.1181641, -0.0690918]"

9,"[0.427002, -0.6130371, -0.2705078, -0.09082031, 1.032715, 1.999939, 0.2111816, -0.5957031, 0.3178711, 1.331055, 1.999939, -0.3706055, -0.8173828, 0.3200684, 0.8356934, 1.125488, 1.05957]","[-0.7207031, -0.7355957, -0.8122559, -0.8933105, -1.023926, -1.2229, -0.7275391, -0.7287598, -0.8029785, -0.532959, 1.999939, -0.6228027, -0.6611328, -0.6745605, -0.3422852, -0.01318359, -0.02783203]","[-0.7497559, -0.8149414, -0.5209961, -0.449707, -0.2653809, 0.1481934, -0.6633301, -0.7485352, -0.4772949, -0.2736816, -1.388428, -0.8498535, -1.034668, -0.3193359, -0.6787109, -0.1289063, -0.07299805]"

10,"[1.159424, 0.7302246, -0.935791, 0.1745605, 1.398682, 0.9621582, -0.7419434, -0.7797852, 0.409668, 1.186768, -0.3439941, 0.815918, -0.7700195, -0.8210449, -0.05419922, 0.6833496, 1.072266, 1.101563]","[-0.08496094, -0.5534668, -0.6320801, -0.8579102, -0.7832031, -1.236328, -0.5554199, -0.628418, -0.7402344, -0.6396484, -0.685791, -0.815918, -0.4741211, -0.4914551, -0.6989746, -1.072998, -0.4985352, -0.01660156]","[-0.4050293, -0.7402344, -0.642334, -0.4943848, -0.2624512, -0.4536133, -0.8398438, -0.8688965, -0.5036621, -0.5136719, -0.7199707, -0.2814941, -0.9289551, -1.080566, -0.6496582, 0.06713867, -0.5712891, -0.01123047]"

