index,x,y,z
0,[],[],[]
1,"[0.9453125, 0.06640625, -0.1855469, -0.3120117, -0.3156738, -0.3920898, -0.359375, -0.2900391, -0.1806641, -0.201416, -0.2419434, -0.3337402, -0.07348633, 0.2382813, 0.8479004, 1.269775, 1.237061, 1.130371]","[-0.6647949, -0.8364258, -0.8632813, -0.8605957, -0.7978516, -0.7883301, -0.796875, -0.8508301, -0.8500977, -0.8371582, -0.7844238, -0.7722168, -0.6967773, -0.7353516, -0.5583496, -0.1660156, -0.009765625, -0.04418945]","[-0.06079102, 0.2290039, 0.2617188, 0.3598633, 0.3737793, 0.4199219, 0.3308105, 0.4069824, 0.4697266, 0.5268555, 0.4321289, 0.4599609, 0.3037109, 0.3056641, -0.03417969, -0.03857422, -0.2099609, -0.09057617]"
2,"[1.299561, 0.5056152, 0.1188965, -0.1638184, -0.2416992, -0.3178711, -0.4611816, -0.3022461, -0.2805176, -0.2768555, -0.2873535, -0.2949219, -0.3105469, -0.2653809, -0.2756348, -0.302002, -0.2653809, -0.2961426, -0.3623047, -0.2849121, -0.2485352, 0.1875, 0.6022949, 1.030273, 1.379883, 0.8615723, 1.122803]","[-0.4304199, -0.7114258, -0.722168, -0.8117676, -0.7900391, -0.7949219, -0.7814941, -0.8503418, -0.8344727, -0.833252, -0.8190918, -0.8273926, -0.8330078, -0.8269043, -0.8393555, -0.8378906, -0.8293457, -0.8352051, -0.7851563, -0.7900391, -0.7199707, -0.7536621, -0.6345215, -0.5478516, -0.1401367, -0.3217773, -0.07250977]","[-0.1362305, -0.0300293, -0.01489258, 0.2714844, 0.2585449, 0.3728027, 0.3408203, 0.3720703, 0.3825684, 0.4084473, 0.40625, 0.3884277, 0.4130859, 0.4038086, 0.4177246, 0.4140625, 0.4455566, 0.4052734, 0.4318848, 0.3869629, 0.3964844, 0.3271484, 0.1743164, -0.1804199, -0.2558594, -1.984375, -0.08837891]"
3,"[0.2700195, -0.0871582, -0.09350586, -0.2998047, -0.06884766, -0.1540527, -0.2255859, -0.2009277, -0.2287598, -0.2192383, -0.2705078, -0.3198242, -0.2541504, -0.2263184, -0.2253418, -0.2233887, -0.251709, -0.1936035, -0.1870117, -0.1975098, 0.2092285, 0.6940918, 1.224121, 1.374512, 1.147217]","[-0.6872559, -0.8105469, -0.8444824, -0.7800293, -0.9179688, -0.9155273, -0.9150391, -0.9042969, -0.8942871, -0.8930664, -0.8918457, -0.8640137, -0.8916016, -0.8747559, -0.8981934, -0.888916, -0.9033203, -0.8481445, -0.8347168, -0.6760254, -0.7424316, -0.5761719, -0.4729004, -0.1633301, -0.08618164]","[0.1335449, 0.2041016, 0.2739258, 0.3422852, 0.3461914, 0.2832031, 0.3105469, 0.3190918, 0.3139648, 0.3132324, 0.2370605, 0.2756348, 0.3200684, 0.3076172, 0.3354492, 0.3588867, 0.375, 0.3725586, 0.3278809, 0.2626953, 0.1188965, -0.1479492, -0.1181641, 0.04101563, -0.09130859]"
4,"[0.777832, 0.2570801, 0.002929688, -0.1325684, -0.2104492, -0.229248, -0.1491699, -0.3405762, -0.390625, -0.09716797, -0.2114258, -0.2722168, -0.177002, -0.1782227, -0.222168, -0.220459, -0.2104492, -0.1530762, -0.3222656, 0.2810059, 0.8320313, 0.9304199, 1.422119, 1.141357, 1.125488]","[-0.614502, -0.6826172, -0.7661133, -0.8120117, -0.8393555, -0.8764648, -0.8701172, -0.8342285, -0.8371582, -0.9226074, -0.8913574, -0.8984375, -0.8996582, -0.8933105, -0.8969727, -0.9057617, -0.8937988, -0.9050293, -0.4892578, -0.7873535, -0.8041992, -0.4240723, -0.2265625, -0.009765625, -0.07104492]","[-0.005126953, 0.06762695, 0.1477051, 0.2873535, 0.3781738, 0.3251953, 0.3510742, 0.253418, 0.2597656, 0.3779297, 0.3054199, 0.3005371, 0.3618164, 0.296875, 0.3227539, 0.3234863, 0.3498535, 0.3952637, 0.3195801, 0.02539063, 0.1130371, -0.3608398, -0.2231445, -0.1030273, -0.09057617]"
5,"[0.9155273, 0.2336426, -0.02758789, -0.1342773, -0.1726074, -0.04199219, -0.046875, -0.0949707, -0.2053223, -0.142334, -0.02514648, -0.07666016, -0.09228516, -0.1665039, -0.03686523, -0.1298828, -0.1369629, -0.06152344, -0.01025391, 0.1943359, 0.5014648, 1.168213, 1.231934, -1.047363, 1.094727]","[-0.6113281, -0.9084473, -0.8823242, -0.8601074, -0.8891602, -0.9597168, -0.9567871, -0.9372559, -0.9001465, -0.9499512, -0.963623, -0.9492188, -0.9411621, -0.9416504, -0.9538574, -0.9472656, -0.940918, -0.8496094, -0.7958984, -0.782959, -0.6347656, -0.486084, -0.2675781, 0.03833008, -0.07006836]","[-0.08886719, 0.08081055, 0.135498, 0.1652832, 0.3222656, 0.2241211, 0.347168, 0.2902832, 0.2041016, 0.2717285, 0.3601074, 0.3027344, 0.3188477, 0.291748, 0.3818359, 0.2780762, 0.2939453, 0.3835449, 0.3210449, 0.2285156, -0.03808594, -0.1821289, -0.1391602, -1.553223, -0.08984375]"
6,"[1.513428, 0.364502, 0.135498, 0.01367188, -0.07836914, -0.1535645, -0.02880859, -0.0871582, -0.03491211, -0.1152344, -0.1276855, -0.02587891, 0.05664063, -0.02514648, -0.0637207, -0.07983398, -0.03491211, -0.05688477, -0.02392578, 0.4816895, 0.9787598, 1.200439, 1.085449, 1.108887]","[-0.4458008, -0.7231445, -0.8415527, -0.831543, -0.9006348, -0.9162598, -0.9758301, -0.9743652, -0.970459, -0.9509277, -0.9382324, -0.9685059, -0.9929199, -0.984375, -0.9719238, -0.9516602, -0.9616699, -0.8232422, -0.7631836, -0.7980957, -0.6865234, -0.4555664, -0.07885742, -0.06835938]","[-0.06567383, 0.09423828, -0.01074219, 0.1962891, 0.3395996, 0.2568359, 0.1555176, 0.1760254, 0.2460938, 0.208252, 0.1828613, 0.2653809, 0.302002, 0.2802734, 0.2827148, 0.2443848, 0.3474121, 0.2785645, 0.2001953, 0.07666016, -0.03198242, -0.06152344, -0.1469727, -0.08032227]"
7,"[1.411621, 0.6958008, 0.3652344, 0.09033203, 0.002929688, 0.009277344, -0.1152344, -0.2380371, -0.09985352, -0.1091309, -0.1699219, -0.07055664, -0.145752, -0.2075195, -0.1408691, -0.140625, -0.1235352, -0.1772461, -0.09228516, -0.02294922, 0.03369141, 0.3603516, 0.5651855, 0.5749512, 0.8166504, 1.048096, 1.268066, 1.026855, 1.105957]","[-0.3925781, -0.6459961, -0.7802734, -0.8603516, -0.927002, -0.9541016, -0.9733887, -0.9216309, -0.9277344, -0.9414063, -0.9379883, -0.9680176, -0.9692383, -0.9377441, -0.9516602, -0.9411621, -0.9492188, -0.9206543, -0.9208984, -0.9238281, -0.8613281, -0.9855957, -0.901123, -0.8239746, -0.7414551, -0.5742188, -0.4501953, -0.2990723, -0.1950684]","[-0.04858398, -0.005859375, 0.1008301, 0.01806641, 0.2568359, 0.2507324, 0.05175781, 0.1184082, 0.1911621, 0.3227539, 0.2370605, 0.2312012, 0.2209473, 0.2109375, 0.255127, 0.279541, 0.2561035, 0.2124023, 0.3046875, 0.2458496, 0.05419922, 0.1765137, 0.1606445, 0.01635742, -0.02490234, -0.005859375, -0.01733398, -0.1748047, -0.1220703]"
8,"[1.44043, 0.8828125, 0.4956055, 0.1791992, 0.2702637, 0.0703125, 0.2155762, 0.1054688, 0.006835938, -0.05273438, 0.001464844, -0.08007813, -0.07397461, -0.2260742, -0.09985352, -0.07763672, -0.1757813, -0.09936523, -0.1376953, -0.1057129, 0.09692383, 0.09619141, 0.2849121, 0.4711914, 0.513916, 0.7045898, 0.6889648, 1.059814, 1.09082, 1.174805, 1.109131]","[-0.4284668, -0.6201172, -0.8007813, -0.9169922, -0.9824219, -0.9372559, -1.030518, -0.996582, -0.9682617, -1.004395, -1.003906, -0.9741211, -0.9907227, -0.9489746, -0.9741211, -0.9763184, -0.9855957, -0.9760742, -0.9389648, -0.9304199, -0.9946289, -0.9667969, -0.9501953, -0.9526367, -0.9226074, -0.8195801, -0.7119141, -0.4680176, -0.2893066, -0.1877441, -0.06884766]","[-0.05078125, -0.01464844, -0.07885742, 0.09741211, 0.06494141, 0.07592773, 0.1906738, 0.1123047, 0.06274414, 0.2243652, 0.2380371, 0.2092285, 0.08984375, 0.05639648, 0.1213379, 0.1608887, 0.1323242, 0.1662598, 0.1071777, 0.1325684, 0.1403809, 0.1064453, 0.1174316, 0.0612793, -0.01489258, 0.006103516, -0.09814453, -0.06274414, -0.1853027, -0.09228516, -0.06689453]"
9,"[0.9628906, 0.6730957, 0.484375, 0.2702637, 0.02709961, 0.01513672, 0.05322266, -0.1142578, -0.1450195, -0.182373, -0.1125488, -0.140625, -0.1191406, -0.1489258, -0.1281738, -0.1186523, -0.1564941, -0.1933594, -0.1552734, -0.1418457, -0.09814453, 0.1879883, 0.2653809, 0.4328613, 0.6694336, 0.7785645, 1.104004, 1.096924]","[-0.5495605, -0.7219238, -0.8352051, -0.9086914, -0.916748, -0.9731445, -0.9926758, -0.9418945, -0.9663086, -0.9675293, -0.967041, -0.9606934, -0.9978027, -0.9731445, -0.967041, -0.9760742, -0.9572754, -0.9313965, -0.9223633, -0.9089355, -0.920166, -0.9462891, -0.9587402, -0.9335938, -0.7844238, -0.7053223, -0.3554688, -0.1508789]","[-0.1713867, -0.1132813, 0.04370117, 0.01049805, -0.02148438, 0.1269531, 0.09790039, 0.05712891, 0.1188965, 0.1662598, 0.2102051, 0.2380371, 0.2128906, 0.1728516, 0.189209, 0.2104492, 0.2224121, 0.1782227, 0.1984863, 0.1721191, 0.1594238, 0.1401367, 0.05786133, 0.005126953, -0.03466797, -0.08056641, -0.1298828, -0.078125]"
10,"[1.044678, 0.5495605, 0.2485352, 0.03076172, -0.2214355, -0.1831055, -0.3139648, -0.2883301, -0.1723633, -0.2192383, -0.2412109, -0.2773438, -0.1740723, -0.2092285, -0.2058105, -0.185791, 0.03881836, -0.04370117, 0.4633789, 0.5288086, 0.9072266, 1.029297, 1.16626, 1.192627, 1.117676]","[-0.5651855, -0.7478027, -0.8571777, -0.9064941, -0.8881836, -0.864502, -0.8417969, -0.8161621, -0.8942871, -0.8657227, -0.904541, -0.8959961, -0.9162598, -0.9060059, -0.8666992, -0.8815918, -0.8740234, -0.9165039, -0.927002, -0.8798828, -0.7243652, -0.6120605, -0.2446289, -0.1557617, -0.06469727]","[-0.008544922, -0.02685547, 0.05444336, 0.02832031, 0.0, 0.3173828, 0.3232422, 0.3398438, 0.3623047, 0.3540039, 0.2421875, 0.2739258, 0.3769531, 0.3383789, 0.3354492, 0.2490234, 0.3815918, 0.1303711, 0.2314453, 0.01220703, -0.0004882813, -0.08618164, -0.1367188, -0.1047363, -0.0769043]"
